"Package" "Version"
"abind" "abind" "1.4-5"
"Amelia" "Amelia" "1.8.0"
"ape" "ape" "5.6-2"
"aplot" "aplot" "0.1.3"
"assertthat" "assertthat" "0.2.1"
"backports" "backports" "1.4.1"
"beeswarm" "beeswarm" "0.4.0"
"BH" "BH" "1.78.0-0"
"BiocManager" "BiocManager" "1.30.16"
"bit" "bit" "4.0.4"
"bit64" "bit64" "4.0.5"
"bitops" "bitops" "1.0-7"
"blob" "blob" "1.2.2"
"Boruta" "Boruta" "7.0.0"
"brew" "brew" "1.0-7"
"brio" "brio" "1.1.3"
"broom" "broom" "0.8.0"
"bslib" "bslib" "0.3.1"
"callr" "callr" "3.7.0"
"car" "car" "3.0-12"
"carData" "carData" "3.0-5"
"caTools" "caTools" "1.18.2"
"cellranger" "cellranger" "1.1.0"
"circlize" "circlize" "0.4.14"
"class" "class" "7.3-20"
"classInt" "classInt" "0.4-3"
"cli" "cli" "3.2.0"
"clue" "clue" "0.3-60"
"colorspace" "colorspace" "2.0-3"
"combinat" "combinat" "0.0-8"
"commonmark" "commonmark" "1.8.0"
"corrplot" "corrplot" "0.92"
"cowplot" "cowplot" "1.1.1"
"cpp11" "cpp11" "0.4.2"
"crayon" "crayon" "1.5.1"
"credentials" "credentials" "1.3.2"
"crosstalk" "crosstalk" "1.2.0"
"data.table" "data.table" "1.14.2"
"DBI" "DBI" "1.1.2"
"dbplyr" "dbplyr" "2.1.1"
"dbscan" "dbscan" "1.1-10"
"DDRTree" "DDRTree" "0.1.5"
"deldir" "deldir" "1.0-6"
"densityClust" "densityClust" "0.3.2"
"DEoptimR" "DEoptimR" "1.0-11"
"desc" "desc" "1.4.1"
"devtools" "devtools" "2.4.3"
"dichromat" "dichromat" "2.0-0"
"diffobj" "diffobj" "0.3.5"
"digest" "digest" "0.6.29"
"distr" "distr" "2.8.0"
"docopt" "docopt" "0.7.1"
"doParallel" "doParallel" "1.0.17"
"downloader" "downloader" "0.4"
"dplyr" "dplyr" "1.0.8"
"dqrng" "dqrng" "0.3.0"
"DT" "DT" "0.22"
"e1071" "e1071" "1.7-9"
"ellipsis" "ellipsis" "0.3.2"
"enrichR" "enrichR" "3.0"
"evaluate" "evaluate" "0.15"
"fansi" "fansi" "1.0.3"
"fastICA" "fastICA" "1.2-3"
"fastmatch" "fastmatch" "1.1-3"
"filelock" "filelock" "1.0.2"
"fitdistrplus" "fitdistrplus" "1.1-8"
"FNN" "FNN" "1.1.3"
"fontawesome" "fontawesome" "0.2.2"
"forcats" "forcats" "0.5.1"
"foreach" "foreach" "1.5.2"
"forecast" "forecast" "8.16"
"foreign" "foreign" "0.8-82"
"formatR" "formatR" "1.12"
"fracdiff" "fracdiff" "1.5-1"
"fs" "fs" "1.5.2"
"furrr" "furrr" "0.2.3"
"futile.logger" "futile.logger" "1.4.3"
"futile.options" "futile.options" "1.0.1"
"future" "future" "1.24.0"
"future.apply" "future.apply" "1.8.1"
"generics" "generics" "0.1.2"
"gert" "gert" "1.5.0"
"GetoptLong" "GetoptLong" "1.0.5"
"ggbeeswarm" "ggbeeswarm" "0.6.0"
"ggdendro" "ggdendro" "0.1.23"
"ggforce" "ggforce" "0.3.3"
"ggfun" "ggfun" "0.0.6"
"ggplot2" "ggplot2" "3.3.5"
"ggplotify" "ggplotify" "0.1.0"
"ggpubr" "ggpubr" "0.4.0"
"ggraph" "ggraph" "2.0.5"
"ggrepel" "ggrepel" "0.9.1"
"ggridges" "ggridges" "0.5.3"
"ggsci" "ggsci" "2.9"
"ggsignif" "ggsignif" "0.6.3"
"ggtext" "ggtext" "0.1.1"
"GlobalOptions" "GlobalOptions" "0.1.2"
"globals" "globals" "0.14.0"
"glue" "glue" "1.6.2"
"goftest" "goftest" "1.2-3"
"gower" "gower" "1.0.0"
"gplots" "gplots" "3.1.1"
"graphlayouts" "graphlayouts" "0.8.0"
"gridExtra" "gridExtra" "2.3"
"gridGraphics" "gridGraphics" "0.5-1"
"gridtext" "gridtext" "0.1.4"
"grr" "grr" "0.9.5"
"gtable" "gtable" "0.3.0"
"gtools" "gtools" "3.9.2"
"hdf5r" "hdf5r" "1.3.5"
"here" "here" "1.0.1"
"hms" "hms" "1.1.1"
"htmltools" "htmltools" "0.5.2"
"htmlwidgets" "htmlwidgets" "1.5.4"
"httpuv" "httpuv" "1.6.5"
"ica" "ica" "1.0-2"
"igraph" "igraph" "1.2.11"
"imputeTS" "imputeTS" "3.2"
"installr" "installr" "0.23.2"
"irlba" "irlba" "2.3.5"
"isoband" "isoband" "0.2.5"
"iterators" "iterators" "1.0.14"
"jpeg" "jpeg" "0.1-9"
"jsonlite" "jsonlite" "1.8.0"
"kernlab" "kernlab" "0.9-30"
"knitr" "knitr" "1.37"
"labeling" "labeling" "0.4.2"
"lambda.r" "lambda.r" "1.2.4"
